"Variable code","Variable name","Province","Citizenship","Year","Estimate","± 1 standard error"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1979","31","16"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1979","23108","1242"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1979","689","110"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1979","15115","767"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1979","4657","373"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1979","18","5"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1980","6832","509"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1980","2729","242"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1980","5575","403"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1980","2422","136"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1980","5091","375"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1980","3788","217"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1980","114","47"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1980","24198","1251"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1980","659","96"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1980","15873","734"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1980","6494","414"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1980","27","13"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1981","5676","471"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1981","2658","250"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1981","4536","378"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1981","2360","145"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1981","6135","467"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1981","3443","219"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1981","69","29"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1981","24362","1298"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1981","626","104"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1981","13719","690"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1981","4332","316"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1981","40","17"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1982","4875","409"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1982","3055","284"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1982","4336","380"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1982","2237","161"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1982","5623","467"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1982","3000","250"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1982","27","10"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1982","25033","1340"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1982","710","113"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1982","16503","809"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1982","4437","327"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1982","13","4"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1983","5233","409"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1983","2579","259"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1983","3155","315"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1983","2244","293"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1983","6180","469"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1983","3328","253"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1983","80","34"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1983","21770","803"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1983","818","159"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1983","15303","664"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1983","4696","414"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1983","61","41"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1984","4204","348"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1984","1939","232"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1984","3377","313"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1984","2464","281"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1984","7080","493"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1984","2869","220"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1984","87","52"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1984","21845","782"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1984","759","152"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1984","13432","593"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1984","4418","380"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1984","7","4"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1985","3768","281"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1985","1625","194"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1985","3239","302"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1985","2490","265"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1985","5441","434"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1985","2666","205"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1985","85","26"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1985","19472","738"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1985","353","102"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1985","12545","581"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1985","4482","362"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1985","36","31"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1986","3819","275"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1986","1747","202"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1986","3646","319"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1986","1557","218"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1986","5113","356"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1986","2391","195"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1986","41","32"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1986","20573","732"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1986","501","126"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1986","12811","539"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1986","5157","385"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1986","27","20"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1987","3448","266"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1987","1549","192"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1987","3107","298"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1987","1920","259"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1987","3970","308"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1987","2478","210"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1987","54","34"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1987","21644","822"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1987","418","118"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1987","12550","594"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1987","4053","339"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1987","22","18"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1988","1648","163"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1988","1066","144"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1988","1959","189"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1988","1692","222"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1988","3056","283"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1988","1896","163"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1988","39","23"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1988","15978","599"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1988","459","102"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1988","10340","466"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1988","2461","223"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1988","13","8"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1989","2473","197"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1989","1013","140"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1989","2671","220"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1989","2386","248"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1989","4581","347"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1989","2277","183"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1989","4","3"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1989","17280","637"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1989","446","110"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1989","10562","464"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1989","2334","205"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1990","2182","170"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1990","787","116"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1990","2602","213"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1990","2157","228"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1990","3695","314"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1990","2417","181"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1990","20","9"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1990","15932","588"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1990","477","102"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1990","10011","465"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1990","2843","208"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1990","18","14"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1991","2280","165"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1991","970","131"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1991","2607","204"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1991","1387","188"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1991","3483","309"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1991","1861","183"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1991","17","7"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1991","15746","583"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1991","418","105"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1991","9635","455"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1991","2300","204"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1991","22","21"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1992","2106","152"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1992","901","107"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1992","2420","185"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1992","2041","196"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1992","3662","266"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1992","2006","156"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1992","10","6"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1992","14557","527"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1992","589","101"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1992","8822","396"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1992","2834","209"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1992","14","10"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1993","1881","141"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1993","633","85"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1993","1798","162"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1993","2288","211"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1993","3441","271"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1993","2217","182"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1993","25","11"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1993","13347","520"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1993","594","108"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1993","8738","403"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1993","2179","174"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1993","4","4"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1994","1967","142"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1994","747","89"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1994","1836","164"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1994","1799","202"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1994","3218","262"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1994","2400","183"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1994","15","7"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1994","11875","460"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1994","229","70"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1994","7893","380"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1994","2724","202"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1994","18","6"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1995","1655","124"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1995","509","77"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1995","1734","159"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1995","1886","197"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1995","3179","246"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1995","2239","177"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1995","6","6"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1995","10414","423"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1995","425","97"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1995","6758","340"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1995","2847","209"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1995","34","11"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1996","1743","135"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1996","495","82"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1996","2044","171"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1996","1964","201"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1996","2283","203"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1996","1292","147"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1996","6","5"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1996","9717","398"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1996","618","115"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1996","6575","310"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1996","2646","208"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1996","4","4"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1997","1162","110"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1997","340","61"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1997","1258","134"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1997","1564","191"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1997","1164","138"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1997","1046","118"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1997","3","3"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1997","7064","339"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1997","317","82"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1997","4611","259"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1997","2012","174"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1997","8","6"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1998","1253","112"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1998","506","101"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1998","1685","148"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1998","1185","160"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1998","1520","153"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1998","1610","144"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1998","6","5"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1998","7732","344"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1998","193","59"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1998","4751","250"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1998","3546","234"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1998","13","8"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","1999","886","88"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","1999","381","65"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","1999","1518","140"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","1999","1355","160"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","1999","1655","160"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","1999","1334","132"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","1999","23","10"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","1999","7452","330"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","1999","255","70"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","1999","4817","253"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","1999","3620","249"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","1999","19","13"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","2000","1194","108"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","2000","394","69"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","2000","1357","128"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","2000","1313","153"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","2000","1577","157"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","2000","1217","128"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","2000","15","7"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","2000","6805","324"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","2000","251","70"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","2000","4755","260"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","2000","4101","283"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","2000","11","6"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","2001","938","91"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","2001","432","71"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","2001","1187","113"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","2001","1114","129"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","2001","1804","202"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","2001","1235","131"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","2001","26","7"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","2001","5386","279"
"ACTIOT","Active non-waterfowl hunters","Prince Edward Island","All hunters","2001","255","63"
"ACTIOT","Active non-waterfowl hunters","Quebec","All hunters","2001","3840","238"
"ACTIOT","Active non-waterfowl hunters","Saskatchewan","All hunters","2001","2910","218"
"ACTIOT","Active non-waterfowl hunters","Yukon Territory","All hunters","2001","19","8"
"ACTIOT","Active non-waterfowl hunters","Alberta","All hunters","2002","756","127"
"ACTIOT","Active non-waterfowl hunters","British Columbia","All hunters","2002","509","53"
"ACTIOT","Active non-waterfowl hunters","Manitoba","All hunters","2002","1474","190"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","All hunters","2002","1353","102"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","All hunters","2002","6271","302"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","All hunters","2002","1135","81"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","All hunters","2002","19","14"
"ACTIOT","Active non-waterfowl hunters","Ontario","All hunters","2002","6052","353"
